"OCL10","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgStrongReference)) -> exists(f | f.name = prop.name))))))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.07692307692307693","6","6","0.38461538461538464","6","1.0","6","0.35714285714285715","6","0.5517241379310345","8","8","0.38461538461538464","8","1.0","8","0.35714285714285715","8","0.10344827586206896","8","8","0.38461538461538464","8","1.0","8","0.35714285714285715","8","0.3216337604513384","8","8","0.38461538461538464","8","1.0","8","0.35714285714285715","8"
"0","References","0.08695652173913043","4","4","0.38461538461538464","4","0.8333333333333334","4","0.3333333333333333","4","0.603448275862069","6","6","0.38461538461538464","6","0.8333333333333334","6","0.3333333333333333","6","0.20689655172413793","6","6","0.38461538461538464","6","0.8333333333333334","6","0.3333333333333333","6","0.454858826147342","6","6","0.38461538461538464","6","0.8333333333333334","6","0.3333333333333333","6"
"0","Attributes","0.125","2","2","0.34615384615384615","2","0.6428571428571429","3","0.28125","3","0.7241379310344828","2","2","0.34615384615384615","2","0.6428571428571429","3","0.28125","3","0.4482758620689655","2","2","0.34615384615384615","2","0.6428571428571429","3","0.28125","3","0.6695340634119862","2","2","0.34615384615384615","2","0.6428571428571429","3","0.28125","3"
"1","Class","1.0","1","1","0.23076923076923078","1","0.75","1","0.21428571428571427","1","1.0","1","1","0.23076923076923078","1","0.75","1","0.21428571428571427","1","1.0","1","1","0.23076923076923078","1","0.75","1","0.21428571428571427","1","1.0","1","1","0.23076923076923078","1","0.75","1","0.21428571428571427","1"
"1","Package","0.028169014084507043","7","7","0.15384615384615385","8","0.5","8","0.13333333333333333","8","0.645","4","4","0.15384615384615385","5","0.5","5","0.13333333333333333","5","0.29","4","4","0.15384615384615385","5","0.5","5","0.13333333333333333","5","0.5385164807134504","4","4","0.15384615384615385","5","0.5","5","0.13333333333333333","5"
"0","NamedElement","0.028169014084507043","7","7","0.3076923076923077","7","1.0","7","0.3076923076923077","7","0.645","4","4","0.3076923076923077","4","1.0","4","0.3076923076923077","4","0.29","4","4","0.3076923076923077","4","1.0","4","0.3076923076923077","4","0.5385164807134504","4","4","0.3076923076923077","4","1.0","4","0.3076923076923077","4"
"0","Property","0.125","2","2","0.3076923076923077","3","1.0","2","0.3076923076923077","2","0.7241379310344828","2","2","0.3076923076923077","3","1.0","2","0.3076923076923077","2","0.4482758620689655","2","2","0.3076923076923077","3","1.0","2","0.3076923076923077","2","0.6695340634119862","2","2","0.3076923076923077","3","1.0","2","0.3076923076923077","2"
"0","StrongReferences","0.08","5","5","0.38461538461538464","5","1.0","5","0.38461538461538464","5","0.5689655172413793","7","7","0.38461538461538464","7","1.0","7","0.38461538461538464","7","0.13793103448275862","7","7","0.38461538461538464","7","1.0","7","0.38461538461538464","7","0.3713906763541037","7","7","0.38461538461538464","7","1.0","7","0.38461538461538464","7"
" ","EXAM-BC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
" ","EXAM-WC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
" ","EXAM-AVG"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
"OCL11","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> select(f|f.oclIsTypeOf(TrgAttribute)) -> exists(f | f.name = prop.name))))))"
