"OCL13","TrgWeakReference.allInstances()->forAll(r | SrcClass.allInstances()->exists(c | r.type.name = c.name))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.11764705882352941","5","5","0.2857142857142857","5","0.4","5","0.2","5","0.29166666666666663","8","8","0.2857142857142857","8","0.4","8","0.2","8","1.67","1","1","0.2857142857142857","1","0.4","1","0.2","1","0.2886751345948129","6","6","0.2857142857142857","6","0.4","6","0.2","6"
"1","References","1.0","1","1","0.2857142857142857","2","0.5","2","0.2222222222222222","2","0.8333333333333333","2","2","0.2857142857142857","2","0.5","2","0.2222222222222222","2","0.6666666666666666","3","3","0.2857142857142857","3","0.5","3","0.2222222222222222","3","0.8164965809277261","2","2","0.2857142857142857","2","0.5","2","0.2222222222222222","2"
"0","Attributes","0.2222222222222222","3","3","0.2857142857142857","4","0.2857142857142857","4","0.16666666666666666","4","0.6538461538461539","3","3","0.2857142857142857","4","0.2857142857142857","4","0.16666666666666666","4","0.3076923076923077","4","4","0.2857142857142857","5","0.2857142857142857","5","0.16666666666666666","5","0.5547001962252291","3","3","0.2857142857142857","4","0.2857142857142857","4","0.16666666666666666","4"
"0","Class","0.08","6","6","0.42857142857142855","6","0.5","6","0.3","6","0.5689655172413793","5","5","0.42857142857142855","5","0.5","5","0.3","5","0.13793103448275862","6","6","0.42857142857142855","6","0.5","6","0.3","6","0.3713906763541037","5","5","0.42857142857142855","5","0.5","5","0.3","5"
"0","Package","0.020833333333333332","7","7","0.2857142857142857","8","0.3333333333333333","8","0.18181818181818182","8","0.52","6","6","0.2857142857142857","7","0.3333333333333333","7","0.18181818181818182","7","0.04","7","7","0.2857142857142857","8","0.3333333333333333","8","0.18181818181818182","8","0.2","7","7","0.2857142857142857","8","0.3333333333333333","8","0.18181818181818182","8"
"0","NamedElement","0.020833333333333332","7","7","0.42857142857142855","7","0.75","7","0.375","7","0.52","6","6","0.42857142857142855","6","0.75","6","0.375","6","0.04","7","7","0.42857142857142855","7","0.75","7","0.375","7","0.2","7","7","0.42857142857142855","7","0.75","7","0.375","7"
"0","Property","0.2222222222222222","3","3","0.42857142857142855","3","0.75","3","0.3333333333333333","3","0.6538461538461539","3","3","0.42857142857142855","3","0.75","3","0.3333333333333333","3","0.3076923076923077","4","4","0.42857142857142855","4","0.75","4","0.3333333333333333","4","0.5547001962252291","3","3","0.42857142857142855","3","0.75","3","0.3333333333333333","3"
"0","StrongReferences","1.0","1","1","0.42857142857142855","1","0.6","1","0.3333333333333333","1","1.0","1","1","0.42857142857142855","1","0.6","1","0.3333333333333333","1","1.0","2","2","0.42857142857142855","2","0.6","2","0.3333333333333333","2","1.0","1","1","0.42857142857142855","1","0.6","1","0.3333333333333333","1"
" ","EXAM-BC"," ","0.125","0.125"," ","0.25"," ","0.25"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.25"," ","0.25"," ","0.375","0.375"," ","0.375"," ","0.375"," ","0.375"," ","0.25","0.25"," ","0.25"," ","0.25"," ","0.25"
" ","EXAM-WC"," ","0.25","0.25"," ","0.25"," ","0.25"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.25"," ","0.25"," ","0.375","0.375"," ","0.375"," ","0.375"," ","0.375"," ","0.25","0.25"," ","0.25"," ","0.25"," ","0.25"
" ","EXAM-AVG"," ","0.1875","0.1875"," ","0.25"," ","0.25"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.25"," ","0.25"," ","0.375","0.375"," ","0.375"," ","0.375"," ","0.375"," ","0.25","0.25"," ","0.25"," ","0.25"," ","0.25"
