"OCL12","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> exists(f | TrgAttribute.allInstances()-> exists(a | a=f and a.type = if prop.primitiveType.oclIsUndefined() then 'NoType' else prop.primitiveType endif)))))))        "
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.038461538461538464","6","5","0.35","6","0.7","6","0.2916666666666667","6","0.2121212121212121","8","7","0.35","8","0.7","8","0.2916666666666667","8","5.0","1","1","0.35","1","0.7","1","0.2916666666666667","1","0.17407765595569785","8","7","0.35","8","0.7","8","0.2916666666666667","8"
"0","References","0.125","4","3","0.45","4","0.75","4","0.375","4","0.5151515151515151","6","5","0.45","6","0.75","6","0.375","6","1.14","2","2","0.45","2","0.75","2","0.375","2","0.4923659639173309","4","3","0.45","4","0.75","4","0.375","4"
"1","Attributes","1.0","1","1","0.6","1","1.0","1","0.6","1","0.9230769230769231","1","1","0.6","1","1.0","1","0.6","1","0.8461538461538461","4","4","0.6","4","1.0","4","0.6","4","0.9198662110077999","1","1","0.6","1","1.0","1","0.6","1"
"0","Class","0.1111111111111111","5","4","0.4","5","0.6666666666666666","5","0.3333333333333333","5","0.6896551724137931","3","2","0.4","3","0.6666666666666666","3","0.3333333333333333","3","0.3793103448275862","6","5","0.4","6","0.6666666666666666","6","0.3333333333333333","6","0.6158817620514397","3","2","0.4","3","0.6666666666666666","3","0.3333333333333333","3"
"0","Package","0.02247191011235955","7","6","0.2","7","0.3333333333333333","8","0.14285714285714285","8","0.555","4","3","0.2","4","0.3333333333333333","5","0.14285714285714285","5","0.11","7","6","0.2","7","0.3333333333333333","8","0.14285714285714285","8","0.33166247903553997","6","5","0.2","6","0.3333333333333333","7","0.14285714285714285","7"
"0","NamedElement","0.02247191011235955","7","6","0.2","7","0.5","7","0.16666666666666666","7","0.555","4","3","0.2","4","0.5","4","0.16666666666666666","4","0.11","7","6","0.2","7","0.5","7","0.16666666666666666","7","0.33166247903553997","6","5","0.2","6","0.5","6","0.16666666666666666","6"
"0","Property","1.0","1","1","0.4","2","1.0","1","0.4","2","0.9230769230769231","1","1","0.4","2","1.0","1","0.4","2","0.8461538461538461","4","4","0.4","5","1.0","4","0.4","5","0.9198662110077999","1","1","0.4","2","1.0","1","0.4","2"
"0","StrongReferences","0.13953488372093023","3","2","0.35","3","0.7","3","0.2916666666666667","3","0.5113636363636364","7","6","0.35","7","0.7","7","0.2916666666666667","7","1.12","3","3","0.35","3","0.7","3","0.2916666666666667","3","0.45226701686664544","5","4","0.35","5","0.7","5","0.2916666666666667","5"
" ","EXAM-BC"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"," ","0.5","0.5"," ","0.5"," ","0.5"," ","0.5"," ","0.125","0.125"," ","0.125"," ","0.125"," ","0.125"
" ","EXAM-WC"," ","0.25","0.25"," ","0.125"," ","0.25"," ","0.125"," ","0.25","0.25"," ","0.125"," ","0.25"," ","0.125"," ","0.625","0.625"," ","0.5"," ","0.625"," ","0.5"," ","0.25","0.25"," ","0.125"," ","0.25"," ","0.125"
" ","EXAM-AVG"," ","0.1875","0.1875"," ","0.125"," ","0.1875"," ","0.125"," ","0.1875","0.1875"," ","0.125"," ","0.1875"," ","0.125"," ","0.5625","0.5625"," ","0.5"," ","0.5625"," ","0.5"," ","0.1875","0.1875"," ","0.125"," ","0.1875"," ","0.125"
