"OCL1",""
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.020618556701030927","4","4","0.6071428571428571","4","0.5666666666666667","4","0.40476190476190477","4","0.515","4","4","0.6071428571428571","4","0.5666666666666667","4","0.40476190476190477","4","0.03","4","4","0.6071428571428571","4","0.5666666666666667","4","0.40476190476190477","4","0.1732050807568877","4","4","0.6071428571428571","4","0.5666666666666667","4","0.40476190476190477","4"
"0","Attributes","0.022988505747126436","2","2","0.7142857142857143","2","0.7692307692307693","2","0.5882352941176471","2","0.565","2","2","0.7142857142857143","2","0.7692307692307693","2","0.5882352941176471","2","0.13","2","2","0.7142857142857143","2","0.7692307692307693","2","0.5882352941176471","2","0.36055512754639896","2","2","0.7142857142857143","2","0.7692307692307693","2","0.5882352941176471","2"
"0","Class","0.028169014084507043","1","1","0.5714285714285714","1","0.8","1","0.5","1","0.645","1","1","0.5714285714285714","1","0.8","1","0.5","1","0.29","1","1","0.5714285714285714","1","0.8","1","0.5","1","0.5385164807134504","1","1","0.5714285714285714","1","0.8","1","0.5","1"
"1","Package","0.0","5","5","0.2857142857142857","5","0.4","5","0.2","5","0.0","5","5","0.2857142857142857","5","0.4","5","0.2","5","0.0","5","5","0.2857142857142857","5","0.4","5","0.2","5","0.0","5","5","0.2857142857142857","5","0.4","5","0.2","5"
"0","StrongReferences","0.020833333333333332","3","3","0.6071428571428571","3","0.5666666666666667","3","0.40476190476190477","3","0.52","3","3","0.6071428571428571","3","0.5666666666666667","3","0.40476190476190477","3","0.04","3","3","0.6071428571428571","3","0.5666666666666667","3","0.40476190476190477","3","0.2","3","3","0.6071428571428571","3","0.5666666666666667","3","0.40476190476190477","3"
" ","EXAM-BC"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
" ","EXAM-WC"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
" ","EXAM-AVG"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
"OCL9",""
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.020618556701030927","4","4","0.8461538461538461","4","0.7333333333333333","4","0.6470588235294118","4","0.515","4","4","0.8461538461538461","4","0.7333333333333333","4","0.6470588235294118","4","0.03","4","4","0.8461538461538461","4","0.7333333333333333","4","0.6470588235294118","4","0.1732050807568877","4","4","0.8461538461538461","4","0.7333333333333333","4","0.6470588235294118","4"
"0","Attributes","0.022988505747126436","2","2","0.6923076923076923","2","0.6923076923076923","2","0.5","2","0.565","2","2","0.6923076923076923","2","0.6923076923076923","2","0.5","2","0.13","2","2","0.6923076923076923","2","0.6923076923076923","2","0.5","2","0.36055512754639896","2","2","0.6923076923076923","2","0.6923076923076923","2","0.5","2"
"0","Class","0.028169014084507043","1","1","0.46153846153846156","1","0.6","1","0.35294117647058826","1","0.645","1","1","0.46153846153846156","1","0.6","1","0.35294117647058826","1","0.29","1","1","0.46153846153846156","1","0.6","1","0.35294117647058826","1","0.5385164807134504","1","1","0.46153846153846156","1","0.6","1","0.35294117647058826","1"
"1","Package","0.0","5","5","0.3076923076923077","5","0.4","5","0.21052631578947367","5","0.0","5","5","0.3076923076923077","5","0.4","5","0.21052631578947367","5","0.0","5","5","0.3076923076923077","5","0.4","5","0.21052631578947367","5","0.0","5","5","0.3076923076923077","5","0.4","5","0.21052631578947367","5"
"0","StrongReferences","0.020833333333333332","3","3","0.8461538461538461","3","0.7333333333333333","3","0.5789473684210527","3","0.52","3","3","0.8461538461538461","3","0.7333333333333333","3","0.5789473684210527","3","0.04","3","3","0.8461538461538461","3","0.7333333333333333","3","0.5789473684210527","3","0.2","3","3","0.8461538461538461","3","0.7333333333333333","3","0.5789473684210527","3"
" ","EXAM-BC"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
" ","EXAM-WC"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
" ","EXAM-AVG"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
