"OCL1","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.020618556701030927","8","8","0.36363636363636365","8","0.26666666666666666","8","0.18181818181818182","8","0.515","8","8","0.36363636363636365","8","0.26666666666666666","8","0.18181818181818182","8","0.03","8","8","0.36363636363636365","8","0.26666666666666666","8","0.18181818181818182","8","0.1732050807568877","8","8","0.36363636363636365","8","0.26666666666666666","8","0.18181818181818182","8"
"0","References","0.02127659574468085","6","6","0.36363636363636365","6","0.3333333333333333","6","0.21052631578947367","6","0.53","6","6","0.36363636363636365","6","0.3333333333333333","6","0.21052631578947367","6","0.06","6","6","0.36363636363636365","6","0.3333333333333333","6","0.21052631578947367","6","0.24494897427831783","6","6","0.36363636363636365","6","0.3333333333333333","6","0.21052631578947367","6"
"0","Attributes","0.022988505747126436","4","4","0.36363636363636365","4","0.3076923076923077","5","0.2","5","0.565","4","4","0.36363636363636365","4","0.3076923076923077","5","0.2","5","0.13","4","4","0.36363636363636365","4","0.3076923076923077","5","0.2","5","0.36055512754639896","4","4","0.36363636363636365","4","0.3076923076923077","5","0.2","5"
"0","Class","0.028169014084507043","3","3","0.7272727272727273","3","0.8","3","0.6153846153846154","3","0.645","3","3","0.7272727272727273","3","0.8","3","0.6153846153846154","3","0.29","3","3","0.7272727272727273","3","0.8","3","0.6153846153846154","3","0.5385164807134504","3","3","0.7272727272727273","3","0.8","3","0.6153846153846154","3"
"0","Package","1.0","1","1","0.6363636363636364","1","0.7","2","0.5","1","1.0","1","1","0.6363636363636364","1","0.7","2","0.5","1","1.0","1","1","0.6363636363636364","1","0.7","2","0.5","1","1.0","1","1","0.6363636363636364","1","0.7","2","0.5","1"
"1","NamedElement","1.0","1","1","0.18181818181818182","2","1.0","1","0.18181818181818182","2","1.0","1","1","0.18181818181818182","2","1.0","1","0.18181818181818182","2","1.0","1","1","0.18181818181818182","2","1.0","1","0.18181818181818182","2","1.0","1","1","0.18181818181818182","2","1.0","1","0.18181818181818182","2"
"0","Property","0.022988505747126436","4","4","0.36363636363636365","4","0.5","4","0.26666666666666666","4","0.565","4","4","0.36363636363636365","4","0.5","4","0.26666666666666666","4","0.13","4","4","0.36363636363636365","4","0.5","4","0.26666666666666666","4","0.36055512754639896","4","4","0.36363636363636365","4","0.5","4","0.26666666666666666","4"
"0","StrongReferences","0.020833333333333332","7","7","0.36363636363636365","7","0.26666666666666666","7","0.18181818181818182","7","0.52","7","7","0.36363636363636365","7","0.26666666666666666","7","0.18181818181818182","7","0.04","7","7","0.36363636363636365","7","0.26666666666666666","7","0.18181818181818182","7","0.2","7","7","0.36363636363636365","7","0.26666666666666666","7","0.18181818181818182","7"
" ","EXAM-BC"," ","0.125","0.125"," ","0.25"," ","0.125"," ","0.25"," ","0.125","0.125"," ","0.25"," ","0.125"," ","0.25"," ","0.125","0.125"," ","0.25"," ","0.125"," ","0.25"," ","0.125","0.125"," ","0.25"," ","0.125"," ","0.25"
" ","EXAM-WC"," ","0.25","0.25"," ","0.25"," ","0.125"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.125"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.125"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.125"," ","0.25"
" ","EXAM-AVG"," ","0.1875","0.1875"," ","0.25"," ","0.125"," ","0.25"," ","0.1875","0.1875"," ","0.25"," ","0.125"," ","0.25"," ","0.1875","0.1875"," ","0.25"," ","0.125"," ","0.25"," ","0.1875","0.1875"," ","0.25"," ","0.125"," ","0.25"
"OCL3","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | entity.features->exists(f | f.name = prop.name))))))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.020618556701030927","8","8","0.6666666666666666","8","0.5333333333333333","8","0.42105263157894735","8","0.515","8","8","0.6666666666666666","8","0.5333333333333333","8","0.42105263157894735","8","0.03","8","8","0.6666666666666666","8","0.5333333333333333","8","0.42105263157894735","8","0.1732050807568877","8","8","0.6666666666666666","8","0.5333333333333333","8","0.42105263157894735","8"
"0","References","0.02127659574468085","6","6","0.6666666666666666","6","0.6666666666666666","6","0.5","6","0.53","6","6","0.6666666666666666","6","0.6666666666666666","6","0.5","6","0.06","6","6","0.6666666666666666","6","0.6666666666666666","6","0.5","6","0.24494897427831783","6","6","0.6666666666666666","6","0.6666666666666666","6","0.5","6"
"0","Attributes","0.022988505747126436","4","4","0.6666666666666666","4","0.6153846153846154","5","0.47058823529411764","5","0.565","4","4","0.6666666666666666","4","0.6153846153846154","5","0.47058823529411764","5","0.13","4","4","0.6666666666666666","4","0.6153846153846154","5","0.47058823529411764","5","0.36055512754639896","4","4","0.6666666666666666","4","0.6153846153846154","5","0.47058823529411764","5"
"0","Class","0.028169014084507043","3","3","0.6666666666666666","3","0.8","3","0.5714285714285714","3","0.645","3","3","0.6666666666666666","3","0.8","3","0.5714285714285714","3","0.29","3","3","0.6666666666666666","3","0.8","3","0.5714285714285714","3","0.5385164807134504","3","3","0.6666666666666666","3","0.8","3","0.5714285714285714","3"
"0","Package","1.0","1","1","0.3333333333333333","1","0.4","2","0.2222222222222222","1","1.0","1","1","0.3333333333333333","1","0.4","2","0.2222222222222222","1","1.0","1","1","0.3333333333333333","1","0.4","2","0.2222222222222222","1","1.0","1","1","0.3333333333333333","1","0.4","2","0.2222222222222222","1"
"1","NamedElement","1.0","1","1","0.16666666666666666","2","1.0","1","0.16666666666666666","2","1.0","1","1","0.16666666666666666","2","1.0","1","0.16666666666666666","2","1.0","1","1","0.16666666666666666","2","1.0","1","0.16666666666666666","2","1.0","1","1","0.16666666666666666","2","1.0","1","0.16666666666666666","2"
"0","Property","0.022988505747126436","4","4","0.6666666666666666","4","1.0","4","0.6666666666666666","4","0.565","4","4","0.6666666666666666","4","1.0","4","0.6666666666666666","4","0.13","4","4","0.6666666666666666","4","1.0","4","0.6666666666666666","4","0.36055512754639896","4","4","0.6666666666666666","4","1.0","4","0.6666666666666666","4"
"0","StrongReferences","0.020833333333333332","7","7","0.6666666666666666","7","0.5333333333333333","7","0.42105263157894735","7","0.52","7","7","0.6666666666666666","7","0.5333333333333333","7","0.42105263157894735","7","0.04","7","7","0.6666666666666666","7","0.5333333333333333","7","0.42105263157894735","7","0.2","7","7","0.6666666666666666","7","0.5333333333333333","7","0.42105263157894735","7"
" ","EXAM-BC"," ","0.125","0.125"," ","0.25"," ","0.125"," ","0.25"," ","0.125","0.125"," ","0.25"," ","0.125"," ","0.25"," ","0.125","0.125"," ","0.25"," ","0.125"," ","0.25"," ","0.125","0.125"," ","0.25"," ","0.125"," ","0.25"
" ","EXAM-WC"," ","0.25","0.25"," ","0.25"," ","0.125"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.125"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.125"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.125"," ","0.25"
" ","EXAM-AVG"," ","0.1875","0.1875"," ","0.25"," ","0.125"," ","0.25"," ","0.1875","0.1875"," ","0.25"," ","0.125"," ","0.25"," ","0.1875","0.1875"," ","0.25"," ","0.125"," ","0.25"," ","0.1875","0.1875"," ","0.25"," ","0.125"," ","0.25"
"OCL8","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (prop.complexType.oclIsUndefined()) implies entity.features-> select(f|f.oclIsTypeOf(TrgAttribute)) -> exists(f | f.name = prop.name))))))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.020618556701030927","8","8","0.6071428571428571","8","0.5666666666666667","8","0.40476190476190477","8","0.515","8","8","0.6071428571428571","8","0.5666666666666667","8","0.40476190476190477","8","0.03","8","8","0.6071428571428571","8","0.5666666666666667","8","0.40476190476190477","8","0.1732050807568877","8","8","0.6071428571428571","8","0.5666666666666667","8","0.40476190476190477","8"
"0","References","0.02127659574468085","6","6","0.6071428571428571","6","0.7083333333333334","6","0.4722222222222222","6","0.53","6","6","0.6071428571428571","6","0.7083333333333334","6","0.4722222222222222","6","0.06","6","6","0.6071428571428571","6","0.7083333333333334","6","0.4722222222222222","6","0.24494897427831783","6","6","0.6071428571428571","6","0.7083333333333334","6","0.4722222222222222","6"
"0","Attributes","0.022988505747126436","4","4","0.7142857142857143","4","0.7692307692307693","5","0.5882352941176471","4","0.565","4","4","0.7142857142857143","4","0.7692307692307693","5","0.5882352941176471","4","0.13","4","4","0.7142857142857143","4","0.7692307692307693","5","0.5882352941176471","4","0.36055512754639896","4","4","0.7142857142857143","4","0.7692307692307693","5","0.5882352941176471","4"
"0","Class","0.028169014084507043","3","3","0.5714285714285714","3","0.8","3","0.5","3","0.645","3","3","0.5714285714285714","3","0.8","3","0.5","3","0.29","3","3","0.5714285714285714","3","0.8","3","0.5","3","0.5385164807134504","3","3","0.5714285714285714","3","0.8","3","0.5","3"
"0","Package","1.0","1","1","0.2857142857142857","1","0.4","2","0.2","1","1.0","1","1","0.2857142857142857","1","0.4","2","0.2","1","1.0","1","1","0.2857142857142857","1","0.4","2","0.2","1","1.0","1","1","0.2857142857142857","1","0.4","2","0.2","1"
"1","NamedElement","1.0","1","1","0.14285714285714285","2","1.0","1","0.14285714285714285","2","1.0","1","1","0.14285714285714285","2","1.0","1","0.14285714285714285","2","1.0","1","1","0.14285714285714285","2","1.0","1","0.14285714285714285","2","1.0","1","1","0.14285714285714285","2","1.0","1","0.14285714285714285","2"
"0","Property","0.022988505747126436","4","4","0.5357142857142857","5","0.9375","4","0.5","5","0.565","4","4","0.5357142857142857","5","0.9375","4","0.5","5","0.13","4","4","0.5357142857142857","5","0.9375","4","0.5","5","0.36055512754639896","4","4","0.5357142857142857","5","0.9375","4","0.5","5"
"0","StrongReferences","0.020833333333333332","7","7","0.6071428571428571","7","0.5666666666666667","7","0.40476190476190477","7","0.52","7","7","0.6071428571428571","7","0.5666666666666667","7","0.40476190476190477","7","0.04","7","7","0.6071428571428571","7","0.5666666666666667","7","0.40476190476190477","7","0.2","7","7","0.6071428571428571","7","0.5666666666666667","7","0.40476190476190477","7"
" ","EXAM-BC"," ","0.125","0.125"," ","0.25"," ","0.125"," ","0.25"," ","0.125","0.125"," ","0.25"," ","0.125"," ","0.25"," ","0.125","0.125"," ","0.25"," ","0.125"," ","0.25"," ","0.125","0.125"," ","0.25"," ","0.125"," ","0.25"
" ","EXAM-WC"," ","0.25","0.25"," ","0.25"," ","0.125"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.125"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.125"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.125"," ","0.25"
" ","EXAM-AVG"," ","0.1875","0.1875"," ","0.25"," ","0.125"," ","0.25"," ","0.1875","0.1875"," ","0.25"," ","0.125"," ","0.25"," ","0.1875","0.1875"," ","0.25"," ","0.125"," ","0.25"," ","0.1875","0.1875"," ","0.25"," ","0.125"," ","0.25"
"OCL9","SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and not prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgWeakReference)) -> exists(f | f.name = prop.name))))))"
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"0","WeakReferences","0.020618556701030927","8","8","0.8461538461538461","8","0.7333333333333333","8","0.6470588235294118","8","0.515","8","8","0.8461538461538461","8","0.7333333333333333","8","0.6470588235294118","8","0.03","8","8","0.8461538461538461","8","0.7333333333333333","8","0.6470588235294118","8","0.1732050807568877","8","8","0.8461538461538461","8","0.7333333333333333","8","0.6470588235294118","8"
"0","References","0.02127659574468085","6","6","0.7692307692307693","6","0.8333333333333334","6","0.5882352941176471","6","0.53","6","6","0.7692307692307693","6","0.8333333333333334","6","0.5882352941176471","6","0.06","6","6","0.7692307692307693","6","0.8333333333333334","6","0.5882352941176471","6","0.24494897427831783","6","6","0.7692307692307693","6","0.8333333333333334","6","0.5882352941176471","6"
"0","Attributes","0.022988505747126436","4","4","0.6923076923076923","4","0.6923076923076923","5","0.5","5","0.565","4","4","0.6923076923076923","4","0.6923076923076923","5","0.5","5","0.13","4","4","0.6923076923076923","4","0.6923076923076923","5","0.5","5","0.36055512754639896","4","4","0.6923076923076923","4","0.6923076923076923","5","0.5","5"
"0","Class","0.028169014084507043","3","3","0.46153846153846156","3","0.6","3","0.35294117647058826","3","0.645","3","3","0.46153846153846156","3","0.6","3","0.35294117647058826","3","0.29","3","3","0.46153846153846156","3","0.6","3","0.35294117647058826","3","0.5385164807134504","3","3","0.46153846153846156","3","0.6","3","0.35294117647058826","3"
"0","Package","1.0","1","1","0.3076923076923077","1","0.4","2","0.21052631578947367","1","1.0","1","1","0.3076923076923077","1","0.4","2","0.21052631578947367","1","1.0","1","1","0.3076923076923077","1","0.4","2","0.21052631578947367","1","1.0","1","1","0.3076923076923077","1","0.4","2","0.21052631578947367","1"
"1","NamedElement","1.0","1","1","0.15384615384615385","2","1.0","1","0.15384615384615385","2","1.0","1","1","0.15384615384615385","2","1.0","1","0.15384615384615385","2","1.0","1","1","0.15384615384615385","2","1.0","1","0.15384615384615385","2","1.0","1","1","0.15384615384615385","2","1.0","1","0.15384615384615385","2"
"0","Property","0.022988505747126436","4","4","0.6153846153846154","5","1.0","4","0.5714285714285714","4","0.565","4","4","0.6153846153846154","5","1.0","4","0.5714285714285714","4","0.13","4","4","0.6153846153846154","5","1.0","4","0.5714285714285714","4","0.36055512754639896","4","4","0.6153846153846154","5","1.0","4","0.5714285714285714","4"
"0","StrongReferences","0.020833333333333332","7","7","0.8461538461538461","7","0.7333333333333333","7","0.5789473684210527","7","0.52","7","7","0.8461538461538461","7","0.7333333333333333","7","0.5789473684210527","7","0.04","7","7","0.8461538461538461","7","0.7333333333333333","7","0.5789473684210527","7","0.2","7","7","0.8461538461538461","7","0.7333333333333333","7","0.5789473684210527","7"
" ","EXAM-BC"," ","0.125","0.125"," ","0.25"," ","0.125"," ","0.25"," ","0.125","0.125"," ","0.25"," ","0.125"," ","0.25"," ","0.125","0.125"," ","0.25"," ","0.125"," ","0.25"," ","0.125","0.125"," ","0.25"," ","0.125"," ","0.25"
" ","EXAM-WC"," ","0.25","0.25"," ","0.25"," ","0.125"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.125"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.125"," ","0.25"," ","0.25","0.25"," ","0.25"," ","0.125"," ","0.25"
" ","EXAM-AVG"," ","0.1875","0.1875"," ","0.25"," ","0.125"," ","0.25"," ","0.1875","0.1875"," ","0.25"," ","0.125"," ","0.25"," ","0.1875","0.1875"," ","0.25"," ","0.125"," ","0.25"," ","0.1875","0.1875"," ","0.25"," ","0.125"," ","0.25"
